no;season;month;date;time;icao;wind_kt;wind_kt_10;gust;vis_m;vis_m_5000;sigwx_1;sigwx_2;sigwx;sigwx_ket;cb_flag
12;Hujan;Jan;01/01/2024;05.30;Sultan Hasanuddin (WAAA);9;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
13;Hujan;Jan;01/01/2024;06.00;Sultan Hasanuddin (WAAA);10;;FALSE;9000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
14;Hujan;Jan;01/01/2024;06.30;Sultan Hasanuddin (WAAA);9;;FALSE;9000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
15;Hujan;Jan;01/01/2024;07.00;Sultan Hasanuddin (WAAA);5;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
16;Hujan;Jan;01/01/2024;07.30;Sultan Hasanuddin (WAAA);3;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
17;Hujan;Jan;01/01/2024;08.00;Sultan Hasanuddin (WAAA);9;;FALSE;500;500;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
106;Hujan;Feb;01/02/2024;06.00;Sultan Hasanuddin (WAAA);9;;FALSE;3000;3000;+RA;;+RA;Heavy Rain;CB
108;Hujan;Feb;01/02/2024;13.30;Sultan Hasanuddin (WAAA);5;;FALSE;8000;;TS;;TS;Thunderstorm;CB
123;Hujan;Feb;01/02/2024;14.00;Sultan Hasanuddin (WAAA);5;;FALSE;8000;;TS;;TS;Thunderstorm;CB
124;Hujan;Feb;01/02/2024;14.30;Sultan Hasanuddin (WAAA);4;;FALSE;8000;;TS;;TS;Thunderstorm;CB
125;Peralihan 1;Mar;01/03/2024;06.00;Sultan Hasanuddin (WAAA);9;;FALSE;9999;;TS;;TS;Thunderstorm;CB
155;Peralihan 1;Mar;01/03/2024;06.30;Sultan Hasanuddin (WAAA);8;;FALSE;9999;;TS;;TS;Thunderstorm;CB
156;Peralihan 1;Mar;01/03/2024;07.00;Sultan Hasanuddin (WAAA);8;;FALSE;9999;;TS;;TS;Thunderstorm;CB
159;Peralihan 1;Mar;01/03/2024;08.00;Sultan Hasanuddin (WAAA);7;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
160;Peralihan 1;Mar;01/03/2024;08.30;Sultan Hasanuddin (WAAA);7;;FALSE;2500;2500;TSRA;;TSRA ;Thunderstorm Rain;CB
161;Peralihan 1;Mar;01/03/2024;09.00;Sultan Hasanuddin (WAAA);7;;FALSE;1000;1000;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
199;Kemarau;Jul;01/07/2024;10.00;Sultan Hasanuddin (WAAA);5;;FALSE;2000;2000;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
